Id,PersonId,Name,MetadataDateSent,clean_email,raw_email,scores_nltk,pred_nltk,scores_TextBlob,pred_TextBlob,same,topic,topic_0,topic_1,topic_2
5,81,Huma Abedin,2011-03-11T05:00:00+00:00,Friday March PM Huma Abedin Fw Latest How Syria is aiding Qaddafi and more Sid hrc memo syria aiding libya docx Pis print,"H <hrod17@clintonemail.com> Friday, March 11, 2011 1:36 PM Huma Abedin Fw: H: Latest: How Syria is aiding Qaddafi and more... Sid hrc memo syria aiding libya 030311.docx Pis print.",0.0,neutural,0.5,positive,0.0,topic_0,0.5895275802857229,0.32387262931805844,0.08659979039621861
6,185,Robert Russo,2012-09-12T04:00:00+00:00,Pis print Wednesday September PM Fw Meet The Right Wing Extremist Behind Anti fvluslim Film That Sparked Deadly Riots From meat Sent Wednesday September PM To Subject Meet The Right Wing Extremist Behind Anti Muslim Film That Sparked Deadly Riots httemaxbiumenthalcommeet the right wing extremist behind anti musiim tihn that sparked deadly riots Sent from my Verizon Wireless LTE DROID US Department of State Case No Doc No Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER STATE CB,"Pis print. -•-...-^ H < hrod17@clintonernailcom> Wednesday, September 12, 2012 2:11 PM °Russorv@state.gov' Fw: Meet The Right-Wing Extremist Behind Anti-fvluslim Film That Sparked Deadly Riots From [meat) Sent: Wednesday, September 12, 2012 01:00 PM To: 11 Subject: Meet The Right Wing Extremist Behind Anti-Muslim Film That Sparked Deadly Riots htte/maxbiumenthal.com12012/09/meet-the-right-wing-extremist-behind-anti-musiim-tihn-that-sparked- deadly-riots/ Sent from my Verizon Wireless 4G LTE DROID U.S. Department of State Case No. F-2015-04841 Doc No. C05739559 Date: 05/13/2015 STATE DEPT. - PRODUCED TO HOUSE SELECT BENGHAZI COMM. SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION & REDACTIONS. NO FOIA WAIVER. STATE-5CB0045251",-0.9531,negative,-0.098015873015873,negative,1.0,topic_0,0.8333769088226716,0.10897018925486238,0.057652901922466124
8,81,Huma Abedin,2011-03-11T05:00:00+00:00,Friday March PM Huma Abedin Fw Latest How Syria is aiding Qaddafi and more Sid hrc memo Syria aiding libya docx Pis print,"H <hrod17@clintonemail.corn> Friday, March 11, 2011 1:36 PM Huma Abedin Fw: H: Latest: How Syria is aiding Qaddafi and more... Sid hrc memo Syria aiding libya 030311.docx Pis print.",0.0,neutural,0.5,positive,0.0,topic_0,0.5895275802857229,0.32387262931805844,0.08659979039621861
21,87,Jake Sullivan,2012-09-12T04:00:00+00:00,Wednesday September PM Fw Fwd more on libya Libya sept docx We should get this around asap,"H <hrod17@clintonernaii.com› Wednesday, September 12, 2012 11:26 PM esullivanjj@state.gov' Fw: Fwd: more on libya Libya 37 sept 12 12,docx We should get this around asap.",0.0,neutural,0.5,positive,0.0,topic_2,0.34301969740553856,0.2672959522884519,0.3896843503060097
22,185,Robert Russo,2012-09-12T04:00:00+00:00,Pis print Wednesday September PM Fw Fwd more on libya Libya sept dacx,"Pis print. H < hrod17@clintoriernail.corn> Wednesday, September 12, 2012 11:28 PM °Russont@state.gov° Fw: Fwd: more on libya Libya 37 sept 12 12.dacx",0.0,neutural,0.5,positive,0.0,topic_1,0.2575519380168769,0.3771102296791482,0.3653378323039748
23,185,Robert Russo,2012-09-12T04:00:00+00:00,Pis print,Pis print.,0.0,neutural,0.0,neutural,1.0,topic_1,0.14334691840098585,0.7136801950298199,0.14297288656919396
24,87,Jake Sullivan,2012-09-12T04:00:00+00:00,Follow Up Flag Follow up Flag Status Flagged More info,"Follow Up Flag: Follow up Flag Status: Flagged More info,",0.0,neutural,0.5,positive,0.0,topic_0,0.4628164201629674,0.1272035575805616,0.409980022256471
34,185,Robert Russo,2012-09-13T04:00:00+00:00,Pis print From Sullivan Jacob mailto Sent Thursday September PM To Subject FW Quick Summary of POTUS Calls to Presidents of Libya and Egypt FYI,"Pis print. From Sullivan, Jacob 3 [mailto:SullivanJJ@state.gov] Sent: Thursday, September 13, 2012 01:25 PM To: I-I Subject: FW: Quick Summary of POTUS Calls to Presidents of Libya and Egypt FYI",0.368,positive,0.08333333333333333,positive,1.0,topic_1,0.2913565302050791,0.6323077418350654,0.07633572795985538
44,87,Jake Sullivan,2011-03-29T04:00:00+00:00,Both Gates and said the same on the Sunday shows,Both Gates and I said the same on the Sunday shows.,0.0,neutural,0.0,neutural,1.0,topic_1,0.14613506376076132,0.7125930191375239,0.14127191710171486
48,87,Jake Sullivan,2011-03-30T04:00:00+00:00,Pis let me know what Phil finds out asap Thx,Pis let me know what Phil finds out asap. Thx.,0.3612,positive,0.0,neutural,0.0,topic_2,0.11546724338408022,0.11785675072974708,0.7666760058861727
62,185,Robert Russo,2012-10-03T04:00:00+00:00,More info From Sidney Blumenthal mailto Sent Monday October PM To Subject Re Romney last gambit Got done arid published Sid Romney has an op ed in todays Wall Street Journal playing off Stevens murder to say Obama has put security at risk etc According to Politico yesterday there was an internal argument within the Romney campaign over Libya Obviously the neocons and the Rove oriented faction Ed Gillespie Roves surrogate is now Romney campaign adviser beat Stuart Stevens Romney is careening from tactic to tactic hoping something will catch wouldnt be surprised to see Romney raise the specter of the Muslim Brotherhood in charge of Egypt Libya as bogeyman have heard him do this within the last week,"More info. From Sidney Blumenthal [mailto Sent: Monday, October 01, 2012 03:47 PM To: H Subject: Re: Romney s last gambit. Got done arid published. Sid Romney has an op-ed in today's Wall Street Journal playing off Stevens' murder to say Obama has put ""security at risk,"" etc. According to Politico yesterday, there was an internal argument within the Romney campaign over Libya. Obviously, the neocons and the Rove oriented faction (Ed Gillespie, Rove's surrogate is now a Romney campaign adviser) beat Stuart Stevens. Romney is careening from tactic to tactic, hoping something will catch. I wouldn't be surprised to see Romney raise the specter of the Muslim Brotherhood in charge of Egypt & Libya as a bogeyman. I have heard him do this within the last week. B6",-0.608,negative,0.061904761904761914,positive,0.0,topic_0,0.7748907331972696,0.15062305074985788,0.07448621605287249
