Id,PersonId,Name,MetadataDateSent,clean_email,raw_email,scores_nltk,pred_nltk,scores_TextBlob,pred_TextBlob,same,topic,topic_0,topic_1,topic_2
6,185,Robert Russo,2012-09-12T04:00:00+00:00,Pis print Wednesday September PM Fw Meet The Right Wing Extremist Behind Anti fvluslim Film That Sparked Deadly Riots From meat Sent Wednesday September PM To Subject Meet The Right Wing Extremist Behind Anti Muslim Film That Sparked Deadly Riots httemaxbiumenthalcommeet the right wing extremist behind anti musiim tihn that sparked deadly riots Sent from my Verizon Wireless LTE DROID US Department of State Case No Doc No Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER STATE CB,"Pis print. -•-...-^ H < hrod17@clintonernailcom> Wednesday, September 12, 2012 2:11 PM °Russorv@state.gov' Fw: Meet The Right-Wing Extremist Behind Anti-fvluslim Film That Sparked Deadly Riots From [meat) Sent: Wednesday, September 12, 2012 01:00 PM To: 11 Subject: Meet The Right Wing Extremist Behind Anti-Muslim Film That Sparked Deadly Riots htte/maxbiumenthal.com12012/09/meet-the-right-wing-extremist-behind-anti-musiim-tihn-that-sparked- deadly-riots/ Sent from my Verizon Wireless 4G LTE DROID U.S. Department of State Case No. F-2015-04841 Doc No. C05739559 Date: 05/13/2015 STATE DEPT. - PRODUCED TO HOUSE SELECT BENGHAZI COMM. SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION & REDACTIONS. NO FOIA WAIVER. STATE-5CB0045251",-0.9531,negative,-0.098015873015873,negative,1.0,topic_0,0.8333769088226716,0.10897018925486238,0.057652901922466124
23,185,Robert Russo,2012-09-12T04:00:00+00:00,Pis print,Pis print.,0.0,neutural,0.0,neutural,1.0,topic_1,0.14334691840098585,0.7136801950298199,0.14297288656919396
34,185,Robert Russo,2012-09-13T04:00:00+00:00,Pis print From Sullivan Jacob mailto Sent Thursday September PM To Subject FW Quick Summary of POTUS Calls to Presidents of Libya and Egypt FYI,"Pis print. From Sullivan, Jacob 3 [mailto:SullivanJJ@state.gov] Sent: Thursday, September 13, 2012 01:25 PM To: I-I Subject: FW: Quick Summary of POTUS Calls to Presidents of Libya and Egypt FYI",0.368,positive,0.08333333333333333,positive,1.0,topic_1,0.2913565302050791,0.6323077418350654,0.07633572795985538
44,87,Jake Sullivan,2011-03-29T04:00:00+00:00,Both Gates and said the same on the Sunday shows,Both Gates and I said the same on the Sunday shows.,0.0,neutural,0.0,neutural,1.0,topic_1,0.14613506376076132,0.7125930191375239,0.14127191710171486
66,87,Jake Sullivan,2011-04-02T04:00:00+00:00,Pis print Wednesday October PM Fw Fwd Benghazi was obamas am call,"Pis print H <hrod17@clintonemail.com> Wednesday, October 3, 2012 12:05 PM 'Russorv@state.gov' Fw: Fwd: Benghazi was obama's 3 am call",0.0,neutural,0.0,neutural,1.0,topic_1,0.19242138763240976,0.7188928545553516,0.08868575781223863
68,185,Robert Russo,2012-09-14T04:00:00+00:00,When is Chris Stevens going,"When is Chris Stevens going? ---,",0.0,neutural,0.0,neutural,1.0,topic_1,0.1406107210102402,0.7202782976559192,0.13911098133384067
71,185,Robert Russo,2012-10-07T04:00:00+00:00,Pis print Friday September PM Fw CNN Belief Blog Prothero,"Pis print. H <hrod17@clintonemail.com> Friday, September 14, 2012 8:56 PM `Russorv@state.gov' Fw: CNN Belief Blog. Prothero",0.0,neutural,0.0,neutural,1.0,topic_2,0.08537307688035403,0.3509424521465924,0.5636844709730535
74,87,Jake Sullivan,2012-10-07T04:00:00+00:00,Pis print,Pis print. ..... ....,0.0,neutural,0.0,neutural,1.0,topic_1,0.14334691840098585,0.7136801950298199,0.14297288656919396
79,81,Huma Abedin,2012-09-15T04:00:00+00:00,Useful insight Pls circulate,Useful insight. Pls circulate.,0.4939,positive,0.3,positive,1.0,topic_2,0.1165096380359796,0.13377992018338325,0.7497104417806372
86,87,Jake Sullivan,2011-04-08T04:00:00+00:00,Can you call me,Can you call me?,0.0,neutural,0.0,neutural,1.0,topic_0,0.3333333333333333,0.3333333333333333,0.3333333333333333
93,150,Monica Hanley,2012-09-15T04:00:00+00:00,approved Will it be picked up call King should be scheduled so keep working Huma will speak to Holder Does he need to speak secure can do either,--I approved. Will it be picked up? --call w King should be scheduled so keep working w Huma --I will speak to Holder. Does he need to speak secure? I can do either.,0.6369,positive,0.4,positive,1.0,topic_2,0.0872355345790237,0.3332874505630736,0.5794770148579026
104,150,Monica Hanley,2012-09-15T04:00:00+00:00,What is Donnas it,What is Donna's it?,0.0,neutural,0.0,neutural,1.0,topic_1,0.16855481518579524,0.6632109987877058,0.1682341860264988
106,87,Jake Sullivan,2012-10-12T04:00:00+00:00,Ok Thx Also are you in DC,"Ok. Thx. Also, are you in DC? ---",0.5719,positive,0.5,positive,1.0,topic_1,0.13194591496615626,0.7410526866577128,0.1270013983761309
113,150,Monica Hanley,2012-09-16T04:00:00+00:00,Ok,Ok. - --,0.29600000000000004,positive,0.5,positive,1.0,topic_1,0.16670708093985628,0.6665908045641527,0.166702114495991
116,150,Monica Hanley,2012-09-16T04:00:00+00:00,Is Dan coming at,Is Dan coming at 9? ----,0.0,neutural,0.0,neutural,1.0,topic_1,0.14180529787328294,0.7166285981470698,0.14156610397964725
130,32,Cheryl Mills,2012-09-16T04:00:00+00:00,have it Or inal Message,"I have it, ---- Or"" inal Message ---",0.0,neutural,0.0,neutural,1.0,topic_0,0.720619783621883,0.13945691922409625,0.13992329715402071
132,32,Cheryl Mills,2012-10-14T04:00:00+00:00,As planned,As planned.... --,0.0,neutural,0.0,neutural,1.0,topic_2,0.16752591725448068,0.16694936389340848,0.6655247188521107
134,87,Jake Sullivan,2011-06-03T04:00:00+00:00,Very nice Can you talk,Very nice. Can you talk?,0.4754,positive,0.78,positive,1.0,topic_0,0.5153043655120639,0.33734877676427377,0.14734685772366213
144,150,Monica Hanley,2012-10-15T04:00:00+00:00,Im at home in NY so just call when and if you can,I'm at home in NY so just call when and if you can.,0.0,neutural,0.0,neutural,1.0,topic_0,0.7179509007024915,0.14161216329434748,0.1404369360031612
158,81,Huma Abedin,2011-08-22T04:00:00+00:00,Pis print Wednesday October PM Fw,Pis print. H <hrod17@clintonemail.com> Wednesday. October 17 2012 5.48 PM B6 Fw: ---,0.0,neutural,0.0,neutural,1.0,topic_1,0.09833445686071676,0.8006803253684552,0.100985217770828
165,160,Oscar Flores,2011-09-03T04:00:00+00:00,Can we arrange shipments of whats requested,Can we arrange shipments of what's requested?,0.0,neutural,0.0,neutural,1.0,topic_0,0.7333114000798749,0.12625923676119835,0.14042936315892673
165,233,oscar flores,2011-09-03T04:00:00+00:00,Pis print Wednesday September PM Fw Fwd Andrew Sullivan with the Hillary love,Pis print. H <hrod17@clintonemail.com> Wednesday. September 19 2012 4:26 PM Fw: Fwd: Andrew Sullivan with the Hillary love,0.6369,positive,0.5,positive,1.0,topic_1,0.080368982026459,0.5892863658164136,0.3303446521571273
179,87,Jake Sullivan,2012-10-25T04:00:00+00:00,Pis print for me,Pis print for me.,0.0,neutural,0.0,neutural,1.0,topic_1,0.14334691840098585,0.7136801950298199,0.14297288656919396
182,160,Oscar Flores,2012-09-22T04:00:00+00:00,just heard an npr report about the CIA station chief in Tripoli sending cable on saying there was no demo etc Do you know about this US Department of State Case No Doc No Date STATE DEPT PRODUCED TO HOUSE SELECT BENGHAZI COMM SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION REDACTIONS NO FOIA WAIVER STATE CB,I just heard an npr report about the CIA station chief in Tripoli sending a cable on 9/12 saying there was no demo etc. Do you know about this? U.S. Department of State Case No. F-2015-04841 Doc No. C05739763 Date: 05/13/2015 STATE DEPT. - PRODUCED TO HOUSE SELECT BENGHAZI COMM. SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION & REDACTIONS. NO FOIA WAIVER. STATE-5CB0045746,-0.5574,negative,-0.033333333333333326,negative,1.0,topic_0,0.8849685468090528,0.05779068755308176,0.05724076563786563
184,150,Monica Hanley,2012-09-23T04:00:00+00:00,Ns print,Ns print.,0.0,neutural,0.0,neutural,1.0,topic_2,0.15237316434570544,0.3343541935279583,0.5132726421263362
193,150,Monica Hanley,2012-09-23T04:00:00+00:00,Pis print,Pis print. ----,0.0,neutural,0.0,neutural,1.0,topic_1,0.14334691840098585,0.7136801950298199,0.14297288656919396
196,150,Monica Hanley,2012-09-23T04:00:00+00:00,Pis print Sunday September PM Fw Thanks,"Pis print. H <hrod17@clintonemail.com› Sunday, September 23, 2012 10.36 PM 'hanieymr@state.gov` Fw: Thanks",0.4404,positive,0.2,positive,1.0,topic_1,0.09708606337177056,0.7137016468618623,0.1892122897663672
199,87,Jake Sullivan,2012-01-05T05:00:00+00:00,Pis print Sunday September PM Fw thanks,"Pis print. H <hrod17@ciintonernail.com> Sunday, September 23, 2012 10:36 PM 'hanleymr@state.gov. Fw: thanks ...",0.4404,positive,0.2,positive,1.0,topic_1,0.09708606337177056,0.7137016468618623,0.1892122897663672
